Group,Coil,MEP,Time,Subject
SST,AP,0.864132619,250 - 300,9
SST,AP,0.870991262,250 - 300,10
SST,AP,0.501011296,250 - 300,11
SST,AP,0.853546986,250 - 300,12
SST,AP,0.630518957,250 - 300,13
SST,AP,0.615283301,300 - 350,1
SST,AP,0.291427001,300 - 350,2
SST,AP,0.517429699,300 - 350,3
SST,AP,0.794138705,300 - 350,4
SST,AP,0.656089137,300 - 350,5
SST,AP,0.304160345,300 - 350,6
SST,AP,0.874457463,300 - 350,7
SST,AP,1.51299661,300 - 350,8
SST,AP,0.80787185,300 - 350,9
SST,AP,0.441716233,300 - 350,10
SST,AP,0.31724543,300 - 350,11
SST,AP,0.312600017,300 - 350,12
SST,AP,0.258810343,300 - 350,13
