Analysis,Group,Type,Distance,Time,Subject
Response,Euclidean,Sim,0.982016492,250,12
Response,Euclidean,Sim,0.303343617,250,13
Response,Euclidean,Sim,0.069039328,300,1
Response,Euclidean,Sim,0.516557719,300,2
Response,Euclidean,Sim,0.209345317,300,3
Response,Euclidean,Sim,NaN,300,4
Response,Euclidean,Sim,NaN,300,5
Response,Euclidean,Sim,0.256617323,300,6
Response,Euclidean,Sim,0.983119534,300,7
Response,Euclidean,Sim,1.020113709,300,8
Response,Euclidean,Sim,NaN,300,9
Response,Euclidean,Sim,0.407044302,300,10
Response,Euclidean,Sim,0.277973617,300,11
Response,Euclidean,Sim,1.46306214,300,12
Response,Euclidean,Sim,0.233750623,300,13
Cue,Cosine,Real,0.014572231,0,1
Cue,Cosine,Real,0.034134418,0,2
Cue,Cosine,Real,0.061346112,0,3
Cue,Cosine,Real,0.029020433,0,4
Cue,Cosine,Real,0.091555595,0,5
Cue,Cosine,Real,0.00059341,0,6
Cue,Cosine,Real,0.009634221,0,7
Cue,Cosine,Real,0.071381082,0,8
Cue,Cosine,Real,0.002409373,0,9
Cue,Cosine,Real,4.33E-05,0,10
Cue,Cosine,Real,0.063052891,0,11
Cue,Cosine,Real,0.014234631,0,12
Cue,Cosine,Real,0.002017371,0,13
Cue,Cosine,Real,0.06247322,50,1
Cue,Cosine,Real,0.36707904,50,2
Cue,Cosine,Real,0.004326212,50,3
Cue,Cosine,Real,0.032270153,50,4
Cue,Cosine,Real,0.303262267,50,5
Cue,Cosine,Real,0.022609731,50,6
Cue,Cosine,Real,0.021475619,50,7
Cue,Cosine,Real,0.026733469,50,8
Cue,Cosine,Real,0.02404505,50,9
Cue,Cosine,Real,0.044163562,50,10
Cue,Cosine,Real,0.14869951,50,11
Cue,Cosine,Real,0.336386225,50,12
Cue,Cosine,Real,0.033202462,50,13
Cue,Cosine,Real,3.83E-05,100,1
Cue,Cosine,Real,0.003027683,100,2
Cue,Cosine,Real,0.000285342,100,3
Cue,Cosine,Real,0.051310262,100,4
Cue,Cosine,Real,0.054031325,100,5
Cue,Cosine,Real,0.000553719,100,6
Cue,Cosine,Real,0.000560833,100,7
Cue,Cosine,Real,0.039958348,100,8
Cue,Cosine,Real,0.020586153,100,9
Cue,Cosine,Real,0.008078807,100,10
Cue,Cosine,Real,0.023812323,100,11
